id,osm_id,z_order,leisure,name,name:en,type,brand,access,harbour,water,sport,barrier,ele,building,surface
3572074,542680411,0,park,,,,,,,,,,,,
1031106,168647811,0,pitch,Kittredge Field,,,,,,,american_football,,,,
1031107,168647812,0,pitch,Kittredge Field,,,,,,,soccer,,,,
1104323,177619539,0,pitch,Kittredge Field,,,,,,,,,,,
1104324,177619603,0,pitch,,,,,,,,basketball,,,,
1152252,183669346,0,park,Norlin Quadrangle,,,,,,,,,,,
1225026,194217258,0,pitch,,,,,,,,volleyball,,,,
1309781,206772029,0,pitch,Folsom Field,,,,,,,american_football,,,,grass
1357356,215667609,0,pitch,,,,,,,,beachvolleyball,,,,sand
1584836,242161211,0,park,,,,,,,,,,,,
1742577,264683979,0,garden,,,,,,,,,,,,
67056,28828202,0,sports_centre,Carlson Gymnasium,,,,,,,,,1639,yes,
184031,46275951,0,sports_centre,Student Recreation Center,,,,,,,multi,,1638,yes,
184337,46371964,0,pitch,Franklin Field,,,,,,,soccer,fence,,,
184338,46371963,0,sports_centre,Dal Ward Athletic Center,,,,,,,,,1632,yes,
186680,46938886,0,sports_centre,Coors Events/Conference Center,,,,,,,,,1644,stadium,
624395,116030890,0,pitch,,,,,,,,tennis,,,,
624396,116030892,0,pitch,,,,,,,,tennis,,,,
624397,116030893,0,pitch,,,,,,,,tennis,,,,
624398,116030895,0,pitch,,,,,,,,tennis,,,,
624399,116030896,0,pitch,,,,,,,,tennis,,,,
624400,116030899,0,pitch,,,,,,,,tennis,,,,
624401,116030907,0,pitch,,,,,,,,tennis,,,,
895263,150275247,0,park,,,,,,,,,,,,
1309303,206682696,0,sports_centre,Basketball & Volleyball Practice Facility,,,,,,,,,,university,
1584830,242160370,0,park,,,,,,,,,,,,
1742576,264683977,0,garden,,,,,,,,,,,,
1742800,264695713,0,playground,,,,,,,,,,,,
2693538,408749779,0,swimming_pool,Ralphie Pool,,,,,,,,,,,
2693539,408750269,0,pitch,Tennis Courts,,,,,,,tennis,,,,paved
3576708,543184012,0,park,,,,,,,,,,,,
2889200,438929266,0,garden,,,,,,,,,,,,
